form	lemma	POS
"
"	"
"	SPACE
Il	il	PRON
est	être	AUX
difficile	difficile	ADJ
de	de	ADP
dire	dire	VERB
à	à	ADP
quel	quel	DET
moment	moment	NOUN
précis	précis	ADJ
le	le	DET
souci	souci	PROPN
de	de	ADP
devenir	devenir	VERB
modeste	modeste	ADJ
se	se	PRON
sépare	sépare	VERB
de	de	ADP
la	le	DET
crainte	crainte	NOUN
de	de	ADP
devenir	devenir	VERB
ridicule	ridicule	NOUN
.	.	PUNCT
Mais	mais	CCONJ
cette	ce	DET
crainte	crainte	NOUN
et	et	CCONJ
ce	ce	DET
souci	souci	PROPN
se	se	PRON
confondent	confondre	VERB
sûrement	sûrement	ADV
à	à	ADP
l'	le	DET
origine	origine	NOUN
.	.	PUNCT
Une	un	DET
étude	étude	NOUN
complète	complet	ADJ
des	de	ADP
illusions	illusion	NOUN
de	de	ADP
la	le	DET
vanité	vanité	NOUN
,	,	PUNCT
et	et	CCONJ
du	de	DET
ridicule	ridicule	NOUN
qui	qui	PRON
s'	se	PRON
y	y	PRON
attache	attache	NOUN
,	,	PUNCT
éclairerait	éclairer	VERB
d'	de	ADP
un	un	DET
jour	jour	NOUN
singulier	singulier	VERB
la	le	DET
théorie	théorie	NOUN
du	de	DET
rire	rire	NOUN
.	.	PUNCT
On	on	PRON
y	y	PRON
verrait	voir	VERB
le	le	DET
rire	rire	NOUN
accomplir	accomplir	VERB
régulièrement	régulièrement	ADV
une	un	DET
de	de	ADP
ses	son	DET
fonctions	fonction	NOUN
principales	principal	ADJ
,	,	PUNCT
qui	qui	PRON
est	être	VERB
de	de	ADP
rappeler	rappeler	VERB
à	à	ADP
la	le	DET
pleine	pleine	NOUN
conscience	conscience	NOUN
d'	de	ADP
eux	lui	PRON
-	-	PRON
mêmes	même	ADJ
les	le	DET
amours	amour	NOUN
-	-	PUNCT
propres	propre	NOUN
distraits	distrait	NOUN
et	et	CCONJ
d'	de	ADP
obtenir	obtenir	VERB
ainsi	ainsi	ADV
la	le	DET
plus	plus	ADV
grande	grand	ADJ
sociabilité	sociabilité	NOUN
possible	possible	ADJ
des	de	ADP
caractères	caractère	NOUN
.	.	PUNCT
On	on	PRON
verrait	voir	VERB
comment	comment	ADV
la	le	DET
vanité	vanité	NOUN
,	,	PUNCT
qui	qui	PRON
est	être	AUX
un	un	DET
produit	produit	NOUN
naturel	naturel	ADJ
de	de	ADP
la	le	DET
vie	vie	NOUN
sociale	social	ADJ
,	,	PUNCT
gêne	gêne	NOUN
cependant	cependant	ADV
la	le	DET
société	société	NOUN
,	,	PUNCT
de	de	ADP
même	même	ADV
que	que	SCONJ
certains	certain	DET
poisons	poison	NOUN
légers	léger	ADJ
sécrétés	sécréter	VERB
continuellement	continuellemer	VERB
par	par	ADP
notre	notre	DET
organisme	organisme	NOUN
l'	le	DET
intoxiqueraient	intoxiqueraient	NOUN
à	à	ADP
la	le	DET
longue	long	ADJ
si	si	SCONJ
d'	d'	DET
autres	autre	ADJ
sécrétions	sécrétion	NOUN
n'	n'	ADV
en	en	PRON
neutralisaient	neutraliser	VERB
l'	le	DET
effet	effet	NOUN
.	.	PUNCT
Le	le	DET
rire	rire	NOUN
accomplit	accomplit	NOUN
sans	sans	ADP
cesse	cesse	NOUN
un	un	DET
travail	travail	NOUN
de	de	ADP
ce	ce	DET
genre	genre	NOUN
.	.	PUNCT
En	en	ADP
ce	ce	DET
sens	sens	NOUN
,	,	PUNCT
on	on	PRON
pourrait	pouvoir	VERB
dire	dire	VERB
que	que	SCONJ
le	le	DET
remède	remède	NOUN
spécifique	spécifique	ADJ
de	de	ADP
la	le	DET
vanité	vanité	NOUN
est	être	AUX
le	le	DET
rire	rire	NOUN
,	,	PUNCT
et	et	CCONJ
que	que	SCONJ
le	le	DET
défaut	défaut	NOUN
essentiellement	essentiellement	ADV
risible	risible	ADJ
est	être	AUX
la	le	DET
vanité	vanité	NOUN
.	.	PUNCT
